,name,price,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация
0,"Nissan Almera 1.5 MT, 2005, 186 000 км",375000, 2005, N16 рестайлинг (2002—2006), 186 000 км, 16 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.5 MT (98 л.с.), 1.5 л, Бензин, Механика, Передний, Седан, Бежевый, Левый, SJNB*************, Не интересует,
1,"Kia K5 2.5 AT, 2021, 62 525 км",1440000, 2021, III (2019—2023), 62 525 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.5 GDI AT (194 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Синий, Левый, XWEG*************,,
2,"Hyundai Accent 1.5 MT, 2006, 175 600 км",319800, 2006, II (1999—2012), 175 600 км, 11 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.5 MT (102 л.с.), 1.5 л, Бензин, Механика, Передний, Седан, Бежевый, Левый, X7MC*************, Не интересует, Базовая
3,"Volvo XC90 2.5 AT, 2010, 170 000 км",1235000, 2010, I рестайлинг (2006—2014), 170 000 км, 16 записей в отчёте Автотеки,, 3, Не битый, 2.5 T5 4WD AT (210 л.с.) 7 мест, 2.5 л, Бензин, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, YV1C*************, Возможен,
4,"Hyundai Santa Fe 2.2 AT, 2018, 98 213 км",2049000, 2018, III рестайлинг (2015—2018), 98 213 км, 4 записи в отчёте Автотеки,, 1, Не битый, 2.2 CRDi 4WD AT (200 л.с.), 2.2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Белый, Левый, XWES*************, Возможен, Dynamic
5,"SsangYong Actyon 2.0 MT, 2015, битый, 166 000 км",550000, 2015, II рестайлинг (2013—2021), 166 000 км, 6 записей в отчёте Автотеки, Оригинал, 2, Битый, 2.0 MT (149 л.с.), 2 л, Бензин, Механика, Передний, Внедорожник 5-дверный, Серебряный, Левый, RUMA*************, Не интересует, Original
6,"Skoda Rapid 1.6 MT, 2016, 130 000 км",590000, 2016, I (2012—2017), 130 000 км, 9 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MPI MT (90 л.с.), 1.6 л, Бензин, Механика, Передний, Лифтбек, Белый, Левый, XW8A*************, Не интересует, Active
7,"Chevrolet Cruze 1.8 AT, 2013, 118 000 км",955000, 2013, I рестайлинг (2012—2015), 118 000 км, 3 записи в отчёте Автотеки, Оригинал, 1, Не битый, 1.8 AT (141 л.с.), 1.8 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Серый, Левый, XUFJ*************, Не интересует, LS
8,"Toyota Camry 2.4 AT, 2008, 183 254 км",770000, 2008, XV40 (2006—2009), 183 254 км, 6 записей в отчёте Автотеки, Оригинал, 3, Не битый, 2.4 AT (167 л.с.), 2.4 л, Бензин, Автомат, Передний, Седан, Серый, Левый, XW7B*************, Не интересует, Комфорт
9,"BMW 1 серия 1.5 AT, 2017, 122 000 км",1020000, 2017, F20/F21 рестайлинг (2015—2017), 122 000 км, 9 записей в отчёте Автотеки, Оригинал, 1, Не битый, 118i 1.5 Steptronic (136 л.с.), 1.5 л, Бензин, Автомат, Задний, Хетчбек 5-дверный, Белый, Левый, WBA1*************,,
