,name,price,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация
0,"Chevrolet Lacetti 1.6 AT, 2011, 160 000 км",699000,"Республика Крым, Симферополь, Луговая ул.", 2011, I (2004—2013), 160 000 км, 19 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 AT (109 л.с.), 1.6 л, Бензин, Автомат, Передний, Седан, Серебряный, Левый, XUUN*************, Не интересует,
1,"Volkswagen Polo 1.4 AMT, 2016, 156 000 км",1257000,"Республика Адыгея, Тахтамукайский р-н, Шенджийское сельское поселение, аул Шенджий", 2016, V рестайлинг (2015—2020), 156 000 км, 15 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.4 TSI DSG (125 л.с.), 1.4 л, Бензин, Робот, Передний, Седан, Белый, Левый, XW8Z*************, Возможен, GT
2,"Mazda 3 1.5 AT, 2013, 142 500 км",1299999,"Санкт-Петербург, Витебский пр-т", 2013, BM (2013—2016), 142 500 км, 10 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.5 AT (120 л.с.), 1.5 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Красный, Левый, JMZB*************, Не интересует, Active
3,"ВАЗ (LADA) Kalina 1.6 MT, 2012, 230 000 км",300000,"Чеченская Республика, Грозненский р-н, Алхан-Калинское сельское поселение, с. Алхан-Кала, Короткая ул.", 2012, I (2004—2013), 230 000 км, 8 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MT (81 л.с.), 1.6 л, Бензин, Механика, Передний, Универсал, Белый, Левый, XTA1*************, Не интересует, Норма
4,"ВАЗ (LADA) Priora 1.6 MT, 2016, 265 000 км",625000,"Чеченская Республика, Ножай-Юртовский р-н, Аллеройское сельское поселение, с. Аллерой", 2016, I рестайлинг (2013—2018), 265 000 км, Проверить в Автотеке, Оригинал, 3, Не битый, 1.6 MT (106 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Серебряный, Левый, XTA2*************, Не интересует, Luxe
5,"Mazda CX-5 2.0 AT, 2018, 85 500 км",2245000,"Челябинская обл., Магнитогорск, ул. Ворошилова, 8", 2018, II (2017—2022), 85 500 км, 12 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 AT (150 л.с.), 2 л, Бензин, Автомат, Передний, Внедорожник 5-дверный, Белый, Левый, RUMK*************, Не интересует, Active
6,"Ford Focus 2.0 MT, 2007, 249 174 км",420000,"Московская обл., Воскресенск, мкр-н Лопатинский", 2007, II (2005—2008), 249 174 км, 9 записей в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 MT (145 л.с.), 2 л, Бензин, Механика, Передний, Седан, Синий, Левый, X9F4*************, Не интересует, Ghia
7,"Kia Soul 1.6 AT, 2011, 170 154 км",1150000,"Краснодарский край, Краснодар, Ростовское ш., 7", 2011, I (2008—2011), 170 154 км, 7 записей в отчёте Автотеки,, 3, Не битый, 1.6 AT (124 л.с.), 1.6 л, Бензин, Автомат, Передний, Хетчбек 5-дверный, Белый, Левый, XWEJ*************,, Luxe
8,"Chevrolet Cruze 1.6 MT, 2012, 168 000 км",770000,"Нижегородская обл., Арзамас, ул. Гостиный Ряд", 2012, I (2009—2012), 168 000 км, 15 записей в отчёте Автотеки, Дубликат, 3, Не битый, 1.6 MT (109 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Белый, Левый, XUFJ*************, Не интересует,
9,"Opel Corsa 1.4 MT, 2008, 205 000 км",615000,"Ростовская обл., Шахты, посёлок Нежданная, Дачная ул.", 2008, D (2006—2010), 205 000 км, 11 записей в отчёте Автотеки, Дубликат, 3, Не битый, 1.4 MT (90 л.с.), 1.4 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Чёрный, Левый, W0L0*************, Не интересует, Color Edition
10,"Kia Ceed 1.6 AT, 2010, 127 596 км",865500,"Самарская обл., Тольятти, ул. Дзержинского, 92", 2010, ED рестайлинг (2010—2012), 127 596 км, 11 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 AT (122 л.с.), 1.6 л, Бензин, Автомат, Передний, Универсал, Серебряный, Левый, XWEH*************, Не интересует,
11,"ВАЗ (LADA) 2114 Samara 1.6 MT, 2010, 200 000 км",269000,"Краснодарский край, Армавир, ул. имени Маршала Жукова", 2010, I (2001—2014), 200 000 км, 7 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.6 MT (81 л.с.), 1.6 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Серебряный, Левый, XTA2*************, Не интересует,
12,"Hyundai ix35 2.0 AT, 2014, 167 000 км",1425000,"Владимирская обл., Владимир, Вокзальная ул.", 2014, I рестайлинг (2013—2015), 167 000 км, 14 записей в отчёте Автотеки, Оригинал, 1, Не битый, 2.0 CRDi 4WD AT (136 л.с.), 2 л, Дизель, Автомат, Полный, Внедорожник 5-дверный, Серебряный, Левый, TMAJ*************, Возможен, Travel
13,"Nissan Juke 1.6 CVT, 2011, 132 000 км",1190000,"Московская обл., Красногорск, ул. Игоря Мерлушкина, 5", 2011, I (2010—2014), 132 000 км, 8 записей в отчёте Автотеки, Оригинал, 4+, Не битый, 1.6 CVT (117 л.с.), 1.6 л, Бензин, Вариатор, Передний, Внедорожник 5-дверный, Белый, Левый, SJNF*************, Не интересует, SE+
14,"ВАЗ (LADA) Kalina 1.6 MT, 2012, 177 721 км",325000,"Тюменская обл., Ханты-Мансийский АО, Сургут, Пролетарский пр-т, 24", 2012, I (2004—2013), 177 721 км, 5 записей в отчёте Автотеки, Оригинал, 2, Не битый, 1.6 MT (81 л.с.), 1.6 л, Бензин, Механика, Передний, Универсал, Чёрный, Левый, XTA1*************, Не интересует, Базовая
15,"Volkswagen Jetta 1.6 MT, 2015, 160 340 км",1260000,"Республика Башкортостан, Уфа, Советский район", 2015, VI (2010—2015), 160 340 км, 11 записей в отчёте Автотеки,, 3, Не битый, 1.6 MT (105 л.с.), 1.6 л, Бензин, Механика, Передний, Седан, Белый, Левый, XW8Z*************, Не интересует, Highline
16,"ВАЗ (LADA) 2112 1.5 MT, 2002, 210 000 км",285000,"Краснодарский край, Усть-Лабинский р-н, Усть-Лабинское городское поселение, Усть-Лабинск, Запорожская ул., 49", 2002, I (1999—2009), 210 000 км, 9 записей в отчёте Автотеки, Дубликат, 3, Не битый, 1.5 MT (92 л.с.), 1.5 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Серебряный, Левый, XTA2*************,, Базовая
17,"Toyota Corolla 1.3 MT, 2014, 143 000 км",1155000,"Пензенская обл., Пенза, Локомотивная ул.", 2014, XI (2012—2016), 143 000 км, 5 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.3 MT (99 л.с.), 1.3 л, Бензин, Механика, Передний, Седан, Белый, Левый, NMTB*************, Не интересует, Standard
18,"Skoda Rapid 1.6 AT, 2018, 116 200 км",1570000,"Москва, Братеевская ул., 20к2", 2018, I рестайлинг (2017—2020), 116 200 км, 6 записей в отчёте Автотеки, Оригинал, 1, Не битый, 1.6 MPI AT (110 л.с.), 1.6 л, Бензин, Автомат, Передний, Лифтбек, Белый, Левый, XW8A*************, Возможен, Style
19,"Peugeot Boxer 2.2 MT, 2010, 350 000 км",899000,"Москва, Новомосковский административный округ, поселение Московский, МКАД, 47-й километр, 3", 2010, II (2006—2014), 350 000 км, 13 записей в отчёте Автотеки,, 4+, Не битый, 2.2 HDi MT (100 л.с.), 2.2 л, Дизель, Механика, Передний, Фургон, Белый, Левый, VF3Y*************,, Базовая
20,"Audi A4 2.0 AMT, 2015, 87 000 км",2250000,"Москва, б-р Маршала Рокоссовского, 7к1", 2015, B8 рестайлинг (2011—2015), 87 000 км, 23 записи в отчёте Автотеки, Оригинал, 2, Не битый, 2.0 TFSI quattro S tronic (225 л.с.), 2 л, Бензин, Робот, Полный, Седан, Чёрный, Левый, WAUZ*************, Не интересует, Sport
21,"ГАЗ ГАЗель 3302 2.5 MT, 2008, 222 222 км",200000,"Республика Адыгея, г.о. Майкоп, станица Ханская", 2008, I рестайлинг (2003—2010), 222 222 км, 4 записи в отчёте Автотеки, Оригинал, 3, Не битый, 2.5 MT (124 л.с.), 2.5 л, Бензин, Механика, Задний, Фургон, Белый, Левый, X5J2*************, Не интересует, Базовая
22,"Audi A4 1.8 CVT, 2010, 135 014 км",1015000,"Свердловская обл., Екатеринбург, ул. Татищева, 47А", 2010, B8 (2007—2012), 135 014 км, 27 записей в отчёте Автотеки,, 4+, Не битый, 1.8 TFSI Multitronic (120 л.с.), 1.8 л, Бензин, Вариатор, Передний, Седан, Синий, Левый, WAUZ*************,, Стандарт
23,"Daewoo Matiz 1.0 MT, 2012, 78 850 км",293000,"Костромская обл., Кострома, 2-я Волжская ул., 2А", 2012, I рестайлинг (2000—2015), 78 850 км, 4 записи в отчёте Автотеки, Оригинал, 3, Не битый, 1.0 MT (64 л.с.), 1 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Серый, Левый, XWB4*************, Не интересует, Best
24,"Toyota Camry 2.5 AT, 2016, 110 000 км",2550000,"Ростовская обл., Волгодонск, квартал В-Б", 2016, XV50 рестайлинг (2014—2017), 110 000 км, 4 записи в отчёте Автотеки, Оригинал, 1, Не битый, 2.5 AT (181 л.с.), 2.5 л, Бензин, Автомат, Передний, Седан, Чёрный, Левый, XW7B*************, Возможен,
25,"LIFAN X50 1.5 MT, 2016, 111 022 км",680000,"Московская обл., Одинцовский г.о., Одинцово, Можайское ш., 32", 2016, I (2015—2019), 111 022 км, 17 записей в отчёте Автотеки, Оригинал, 3, Не битый, 1.5 MT (103 л.с.), 1.5 л, Бензин, Механика, Передний, Хетчбек 5-дверный, Синий, Левый, X9W2*************, Не интересует, Luxury '18
26,"ВАЗ (LADA) Niva Travel 1.7 MT, 2021, 46 000 км",970000,"Самарская обл., Тольятти, Ботаническая ул., 2", 2021, I рестайлинг (2020—2024), 46 000 км, Проверить в Автотеке,, 1, Не битый, 1.7 MT (80 л.с.), 1.7 л, Бензин, Механика, Полный, Внедорожник 5-дверный, Чёрный, Левый, XTA2*************, Не интересует,
